# This file contains data for the Dirac and Pauli proton electromagnetic form factors in the time-like region, based on the Unitary and Analytic (UA) model for dark vector production,
# as presented in "A Closer Look at Dark Vector Splitting Functions in Proton Bremsstrahlung" by S. Foroughi-Abari, P. Reimitz, and A. Ritz.
# Column descriptions:
# Column  1    : The momentum transfer sqrt(t) [GeV]
# Columns 2 & 3: Uncertainty band (minimum and maximum) of the Dirac form factor
# Columns 4 & 5: Uncertainty band (minimum and maximum) of the Pauli form factor
#     sqrt(t)[GeV]    F1Pmin                         F1Pmax                        F2Pmin                        F2Pmax 
      1.20000000      (9.97421535+0.23367309j)      (12.28239913+0.23566034j)      (0.31913257+-4.31147938j)      (6.29749885+-5.31296211j)
      1.21000000      (9.65557345+0.21582645j)      (11.99691518+0.22290776j)      (0.37293721+-4.54863716j)      (6.56351406+-5.60674035j)
      1.22000000      (9.37507981+0.19488038j)      (11.72194641+0.20794966j)      (0.44990995+-4.80072527j)      (6.85187620+-5.91860803j)
      1.23000000      (9.12038852+0.17140701j)      (11.43762892+0.19089461j)      (0.54787820+-5.06891049j)      (7.15019974+-6.24947247j)
      1.24000000      (8.88424477+0.14511272j)      (11.11987021+0.17180275j)      (0.66464425+-5.35441949j)      (7.44341968+-6.60018006j)
      1.25000000      (8.65342502+0.11598904j)      (10.73567986+0.15072671j)      (0.79768825+-5.65852431j)      (7.71305357+-6.97146548j)
      1.26000000      (8.40393689+0.19013526j)      (10.22914432+0.12781078j)      (0.94379453+-5.98252431j)      (7.93651171+-7.36389277j)
      1.27000000      (8.06707394+0.28372742j)      (9.44272407+-0.07319329j)      (1.09853574+-6.32772298j)      (7.17443420+-8.69998276j)
      1.28000000      (7.65969073+0.64141323j)      (8.39314046+1.06411767j)      (1.25549862+-6.69539783j)      (7.20451924+-9.21848925j)
      1.29000000      (7.59508646+0.78012409j)      (8.24979849+1.19192036j)      (1.40501605+-7.08676107j)      (7.09291142+-9.76529397j)
      1.30000000      (7.51360086+1.13961096j)      (8.14790270+1.59212454j)      (1.53185160+-7.50290871j)      (6.79393868+-10.33987861j)
      1.31000000      (7.07317856+2.63654024j)      (8.03642594+1.97825994j)      (1.61026825+-7.94475342j)      (6.24847880+-10.94103489j)
      1.32000000      (6.68513507+3.04430305j)      (7.90849170+2.36659093j)      (1.59065574+-8.41292919j)      (5.36318835+-11.56670518j)
      1.33000000      (6.25650548+3.40098718j)      (7.75683732+2.76208399j)      (1.34183447+-8.90759773j)      (3.90429207+-12.21373090j)
      1.34000000      (5.79160466+3.70119309j)      (7.57423878+3.16434023j)      (0.60073754+-7.67161375j)      (0.73232195+-12.01514778j)
      1.35000000      (5.29821361+3.93823699j)      (7.92721939+2.04816455j)      (0.14146008+-6.12498484j)      (1.31151327+-11.53381131j)
      1.36000000      (4.78707980+4.10649350j)      (7.92383979+2.36358267j)      (-0.38629717+-5.36098688j)      (1.92580647+-11.29945349j)
      1.37000000      (4.27098957+4.20283251j)      (7.90844312+2.70520649j)      (-0.96305208+-4.92379046j)      (2.56601194+-11.08358291j)
      1.38000000      (3.76357586+4.22735258j)      (7.87448016+3.07289309j)      (1.05350461+-4.33457645j)      (3.21872950+-10.82879093j)
      1.39000000      (3.28088915+4.18128937j)      (7.81498010+3.46493231j)      (0.68694944+-3.79891225j)      (3.86645225+-10.50751108j)
